filename,path,ground_truth,predicted_class,confidence_score,content_type,analysis_text,is_correct,folder
m0201.jpeg,/home/shiphra/Aibos/Verify-Service-Test/verify/static/images/human/fake/m0201.jpeg,AI-generated,Modified,85,Human Face,"The image shows signs of digital manipulation. Facial analysis reveals potential inconsistencies in skin texture and facial proportions, suggesting possible AI-generated elements. Lighting consistency is mostly maintained, but there are minor anomalies in shadow alignment. Background integrity appears intact with no obvious artifacts. Image quality is uniform, but there are subtle digital artifacts around the face, indicating possible editing. Anatomical accuracy is generally correct, but facial features seem slightly unnatural. Technical authenticity shows consistent metadata and compression patterns, but noise levels around the face differ slightly from the rest of the image. Visual coherence is mostly consistent, though facial textures appear slightly synthetic. AI generation indicators include unusual facial artifacts and possible blending issues. Overall, the image likely underwent digital modification, particularly around the facial area.",False,fake
f0205.jpg,/home/shiphra/Aibos/Verify-Service-Test/verify/static/images/human/fake/f0205.jpg,AI-generated,Modified,85,Human Face,"The image shows several indicators of digital manipulation. The facial features appear overly smooth with a lack of natural skin texture, suggesting possible AI generation or heavy editing. The lighting on the face does not match the background lighting, indicating potential compositing. The background appears slightly blurred compared to the subject, which is unusually sharp, suggesting a depth of field inconsistency. The edges around the subject are not seamlessly integrated with the background, indicating possible cut-and-paste editing. Anatomical features such as facial proportions appear slightly unnatural, with symmetrical features that are often a sign of AI generation. The overall image quality shows inconsistent resolution, with the subject being clearer than the background. There are no obvious compression artifacts, but the noise levels are inconsistent across the image. These factors collectively suggest that the image is likely digitally modified or AI-generated.",False,fake
f0102.jpg,/home/shiphra/Aibos/Verify-Service-Test/verify/static/images/human/fake/f0102.jpg,AI-generated,Modified,85,Human Face,"The image exhibits several indicators of digital manipulation or AI generation. Facial analysis reveals a lack of natural skin texture and overly smooth features, which are common in AI-generated images. The lighting on the face does not match the background lighting, suggesting compositing. The background shows signs of artificial blurring and lacks natural depth of field, indicating potential digital editing. Image quality is inconsistent, with the face appearing sharper than the rest of the image, suggesting possible overlay or modification. Anatomical accuracy is mostly maintained, but the overall visual coherence is disrupted by inconsistent lighting and texture. There are no obvious AI generation artifacts, but the smoothness and lighting inconsistencies suggest digital modification. Overall, the image appears to be digitally modified rather than naturally photographed.",False,fake
m0106.jpg,/home/shiphra/Aibos/Verify-Service-Test/verify/static/images/human/fake/m0106.jpg,AI-generated,Modified,85,Human Face,"The image shows several indicators of potential digital manipulation or AI generation. Facial analysis reveals unnatural skin textures and potentially altered facial features, suggesting possible AI involvement. Lighting consistency is questionable, with shadows and reflections not aligning perfectly with the apparent light sources. The background shows signs of compositing, with blurred edges and inconsistent depth of field, indicating possible digital editing. Image quality is uneven, with varying resolution and clarity, particularly around the subject's face and hand. Anatomical accuracy is mostly maintained, but the hand positioning appears slightly unnatural. Technical authenticity is compromised by inconsistent noise patterns and metadata anomalies. Visual coherence is disrupted by unnatural color transitions and material textures. AI generation indicators include unusual artifacts and synthetic patterns around the face. Overall, the image shows signs of both AI generation and digital modification, with multiple technical inconsistencies suggesting it is not an authentic photograph.",False,fake
m0708.png,/home/shiphra/Aibos/Verify-Service-Test/verify/static/images/human/fake/m0708.png,AI-generated,Modified,75,Human Face,"The image shows several indicators of potential digital manipulation. Facial analysis reveals some inconsistencies in skin texture and symmetrical features, suggesting possible AI generation or editing. Lighting consistency is mostly maintained, but there are slight anomalies in shadow alignment with the light source. The background appears mostly consistent, but there are minor perspective issues that could indicate compositing. Image quality is uniform, but there are subtle compression artifacts that are not typical of natural photography. Anatomical accuracy is generally correct, but there are slight unnatural limb positions. Technical authenticity shows some irregular noise patterns and metadata inconsistencies. Visual coherence is mostly maintained, but there are slight unnatural color transitions. AI generation indicators include minor unusual artifacts around facial features. Overall, the image shows signs of digital modification with a moderate confidence level.",False,fake
0a6c5254-3a1e-4a41-b8a6-ff7cf1c12e72.jpeg,/home/shiphra/Aibos/Verify-Service-Test/verify/static/images/human/fake/0a6c5254-3a1e-4a41-b8a6-ff7cf1c12e72.jpeg,AI-generated,Authentic,95,Human Face,"The image shows a high level of detail and realism, with natural skin textures and symmetrical facial features. The lighting is consistent with the shadows and reflections, suggesting a single light source from above. The background appears seamlessly integrated with realistic depth of field and perspective. Image quality is uniform with no noticeable compression artifacts. Anatomical features such as facial proportions and limb positioning appear accurate. There are no obvious signs of AI generation such as unusual artifacts or impossible geometry. The overall style and color transitions are coherent, with realistic material textures. No digital manipulation artifacts are evident. The image appears to be naturally photographed with no significant indicators of AI generation or digital editing.",False,fake
m1003.jpg,/home/shiphra/Aibos/Verify-Service-Test/verify/static/images/human/fake/m1003.jpg,AI-generated,AI-generated,85,Human Face,"The image shows several indicators of potential AI generation or digital manipulation. Facial analysis reveals symmetrical features and smooth skin textures, which may suggest AI involvement. Lighting consistency appears mostly natural, but there are minor discrepancies in shadow alignment. The background shows seamless edges and realistic perspectives, although the depth of field appears slightly artificial. Image quality is uniform, but there are subtle compression artifacts that could indicate post-processing. Anatomical accuracy is generally correct, with proper proportions and natural limb positioning. Technical authenticity shows consistent metadata, but the noise levels are unusually low, which is typical in AI-generated images. Visual coherence is mostly maintained, but there are slight inconsistencies in color transitions. AI generation indicators include smooth textures and potential synthetic patterns. Overall, the image shows signs of AI generation with a high confidence level due to the combination of smooth textures, low noise levels, and minor lighting inconsistencies.",True,fake
f1002_1.jpg,/home/shiphra/Aibos/Verify-Service-Test/verify/static/images/human/fake/f1002_1.jpg,AI-generated,AI-generated,90,Human Face,"The image shows several indicators of AI generation. Facial analysis reveals a lack of natural skin textures and symmetrical features, with an unusual smoothness that suggests synthetic creation. The lighting is consistent, but the reflections and shadows appear overly uniform, lacking natural variation. The background is plain, which makes it difficult to assess perspective and depth, but the edges are seamless. Image quality is uniform, but the clarity and resolution are suspiciously consistent, indicating potential AI synthesis. Anatomical accuracy is compromised, particularly around the mouth area, which appears unnatural. Technical authenticity is questionable due to the absence of typical compression artifacts and noise patterns expected in natural photographs. Visual coherence is maintained, but the style consistency and color transitions are overly perfect, suggesting AI involvement. There are no obvious digital manipulation signs, but the overall appearance aligns with AI-generated imagery. The image lacks natural imperfections and exhibits characteristics typical of AI-generated content.",True,fake
m0810.jpg,/home/shiphra/Aibos/Verify-Service-Test/verify/static/images/human/fake/m0810.jpg,AI-generated,Modified,75,Human Face,"The image shows signs of digital manipulation. Facial analysis reveals unnatural skin textures and slightly asymmetrical features, suggesting possible AI generation or editing. Lighting consistency is questionable, with shadows not aligning perfectly with the light source, indicating potential compositing. The background is uniformly dark, which could be a technique to mask inconsistencies. Image quality shows varying resolution, particularly around the face, hinting at possible digital alteration. Anatomical accuracy appears mostly correct, but the hand positioning seems slightly unnatural. Technical authenticity is compromised by inconsistent noise levels and lack of metadata. Visual coherence is disrupted by unnatural color transitions and textures. AI generation indicators include unusual artifacts around the facial area. Overall, the image appears to be digitally modified with a moderate confidence level.",False,fake
m0608.jpg,/home/shiphra/Aibos/Verify-Service-Test/verify/static/images/human/fake/m0608.jpg,AI-generated,Authentic,95,Human Face,"The image shows a person against a concrete background. Facial analysis reveals natural skin textures and symmetrical features with realistic aging patterns. Lighting consistency is maintained with shadows matching the light source and realistic reflections on the skin. The background integrity appears intact with seamless edges and a natural depth of field. Image quality is uniform with consistent resolution and clarity, showing natural compression artifacts. Anatomical accuracy is observed with correct proportions and natural limb positioning. Technical authenticity is supported by natural compression patterns and appropriate noise levels. Visual coherence is maintained with consistent style and natural color transitions. No AI generation indicators such as unusual artifacts or impossible geometry are present. There are no signs of digital manipulation or post-processing modifications. Overall, the image appears naturally photographed with no evidence of AI generation or digital editing.",False,fake
